PID,Name,TID,ODK
865,Bryce Hager,17,D
866,Cory Littleton,17,D
867,Alec Ogletree,17,D
868,Robert Quinn,17,D
869,Garrett Sickels,17,D
870,Carlos Thompson,17,D
871,Blake Countess,17,D
872,Cody Davis,17,D
873,Troy Hill,17,D
874,Isaiah Johnson,17,D
875,John Johnson,17,D
876,Trumaine Johnson,17,D
877,Lamarcus Joyner,17,D
878,Kevin Peterson,17,D
879,Nickell Robey-Coleman,17,D
880,Johnny Hekker,17,K
881,Jacob McQuaide,17,K
882,Greg Zuerlein,17,K
883,Kellen Clemens,18,O
884,Cardale Jones,18,O
885,Phillip Rivers,18,O
886,Austin Ekeler,18,O
887,Melvin Gordon,18,O
888,Russell Hansbrough,18,O
889,Branden Oliver,18,O
890,Derek Watt,18,O
891,Keenan Allen,18,O
892,Travis Benjamin,18,O
893,Geremy Davis,18,O
894,Mike Williams,18,O
895,Tyrell Williams,18,O
896,Sean Culkin,18,O
897,Jeff Cumberland,18,O
898,Antonio Gates,18,O
899,Sean McGrath,18,O
900,Joe Barksdale,18,O
901,Dan Feeney,18,O
902,Russell Okung,18,O
903,Michael Ola,18,O
904,Spencer Pulley,18,O
905,Michael Schofield,18,O
906,Sam Tevi,18,O
907,Kenny Wiggins,18,O
908,Jeremiah Attaochu,18,D
909,Joey Bosa,18,D
910,Melvin Ingram,18,D
911,Corey Liuget,18,D
912,Chris McCain,18,D
913,Brandon Mebane,18,D
914,Tenny Palepoi,18,D
915,Darius Philon,18,D
916,Isaac Rochell,18,D
917,Damion Square,18,D
918,Jatavis Brown,18,D
919,Nick Dzubnar,18,D
920,Kyle Emanuel,18,D
921,Denzel Perryman,18,D
922,Hayes Pullard,18,D
923,Korey Toomer,18,D
924,Jahleel Addae,18,D
925,Tre Boston,18,D
926,Michael Davis,18,D
927,Casey Hayward,18,D
928,Rayshawn Jenkins,18,D
929,Desmond King,18,D
930,Craig Mager,18,D
931,Adrian Phillips,18,D
932,Trevor Williams,18,D
933,Drew Kaser,18,K
934,Nick Rose,18,K
935,Mike Windt,18,K
936,Jay Cutler,19,O
937,David Fales,19,O
938,Matt Moore,19,O
939,Kenyan Drake,19,O
940,Senories Perry,19,O
941,DeVon Smith,19,O
942,Damien Williams,19,O
943,Jakeem Grant,19,O
944,Jarvis Landry,19,O
945,DeVante Parker,19,O
946,Rashawn Scott,19,O
947,Kenny Stills,19,O
948,A.J. Derby,19,O
949,Thomas Duarte,19,O
950,Anthony Fasano,19,O
951,MarQueis Gray,19,O
952,Isaac Asiata Jake Brendel,19,O
953,Jesse Davis,19,O
954,Ted Larsen,19,O
955,Mike Pouncey,19,O
